timestamp num bytes from host ip seq ttl ping ms
2014-11-25@19:57:44 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3486 ttl=245 time=21.5 ms
2014-11-25@19:57:45 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3487 ttl=245 time=169 ms
2014-11-25@19:57:46 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3488 ttl=245 time=78.1 ms
2014-11-25@19:57:47 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3489 ttl=245 time=163 ms
2014-11-25@19:57:48 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3490 ttl=245 time=105 ms
2014-11-25@19:57:49 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3491 ttl=245 time=60.5 ms
2014-11-25@19:57:50 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3492 ttl=245 time=26.3 ms
2014-11-25@19:57:51 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3493 ttl=245 time=230 ms
2014-11-25@19:57:52 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3494 ttl=245 time=18.1 ms
2014-11-25@19:57:53 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3495 ttl=245 time=130 ms
2014-11-25@19:57:54 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3496 ttl=245 time=15.9 ms
2014-11-25@19:57:55 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3497 ttl=245 time=13.7 ms
2014-11-25@19:57:56 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3498 ttl=245 time=113 ms
2014-11-25@19:57:57 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3499 ttl=245 time=18.7 ms
2014-11-25@19:57:58 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3500 ttl=245 time=53.8 ms
2014-11-25@19:57:59 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3501 ttl=245 time=26.4 ms
2014-11-25@19:58:00 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3502 ttl=245 time=25.1 ms
2014-11-25@19:58:01 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3503 ttl=245 time=116 ms
2014-11-25@19:58:02 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3504 ttl=245 time=145 ms
2014-11-25@19:58:03 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3505 ttl=245 time=219 ms
2014-11-25@19:58:04 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3506 ttl=245 time=15.3 ms
2014-11-25@19:58:05 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3507 ttl=245 time=28.2 ms
2014-11-25@19:58:06 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3508 ttl=245 time=236 ms
2014-11-25@19:58:07 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3509 ttl=245 time=13.0 ms
2014-11-25@19:58:08 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3510 ttl=245 time=175 ms
2014-11-25@19:58:09 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3511 ttl=245 time=106 ms
2014-11-25@19:58:10 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3512 ttl=245 time=14.5 ms
